researcher,num_papers,total_citations,h_index,institutions,journal_counts,papers
Ehsan Samiei,39,1583,20,"{'Kelowna General Hospital': 5, 'University of British Columbia': 13, 'University of Victoria': 14, 'University of Toronto': 5, 'Applied Microengineering Limited (United Kingdom)': 1, 'K.N.Toosi University of Technology': 5, 'Okanagan University College': 3, 'Third Way': 1, 'Advanced Materials and Technologies (Slovenia)': 2, 'Canada Research Chairs': 1}","{'Lab on a Chip': 3, 'The Analyst': 1, 'FEBS Journal': 1, 'Sensors': 1, 'International Journal of Molecular Sciences': 1, 'Small': 3, 'European Journal of Mechanics - B/Fluids': 1, 'Cell Death Discovery': 1, 'Biosensors and Bioelectronics': 1, 'European Journal of Pharmacology': 1, 'Journal of Micromechanics and Microengineering': 1, 'RSC Advances': 2, 'Journal of Hazardous Materials': 1, 'ACS Applied Materials & Interfaces': 1, 'Applied Physics Letters': 1, 'Micromachines': 1, 'Pharmaceutics': 1, 'Nano Select': 1, 'Medical & Biological Engineering & Computing': 1, 'MethodsX': 1, 'Integrated analytical systems': 1, 'Open Collections': 1, 'ASME 2010 10th Biennial Conference on Engineering Systems Design and Analysis, Volume 3': 2, 'Unknown': 7, 'World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany': 1, 'TechConnect Briefs': 1, 'Biofabrication': 1}","[{'title': 'A review of digital microfluidics as portable platforms for lab-on a-chip applications', 'citations': 452, 'authors': ['Ehsan Samiei', 'Maryam Tabrizian', 'Mina Hoorfar'], 'publication date': '2016-01-01', 'journal': 'Lab on a Chip', 'issue': '13'}, {'title': 'A review of sorting, separation and isolation of cells and microbeads for biomedical applications: microfluidic approaches', 'citations': 268, 'authors': ['Arash Dalili', 'Ehsan Samiei', 'Mina Hoorfar'], 'publication date': '2018-10-25', 'journal': 'The Analyst', 'issue': '1'}, {'title': 'Simvastatin increases temozolomide‐induced cell death by targeting the fusion of autophagosomes and lysosomes', 'citations': 121, 'authors': ['Shahla Shojaei', 'Navid Koleini', 'Ehsan Samiei', 'Mahmoud Aghaei', 'Laura Cole', 'Javad Alizadeh', 'M. Rabiul Islam', 'Amir R. Vosoughi', 'Mohammed Albokashy', 'Yaron S.N. Butterfield', 'Hassan Marzban', 'Fred Y. Xu', 'James A. Thliveris', 'Elissavet Kardami', 'Grant M. Hatch', 'Eftekhar Eftekharpour', 'Mohsen Akbari', 'Sabine Hombach‐Klonisch', 'Thomas Klonisch', 'Saeid Ghavami'], 'publication date': '2019-09-23', 'journal': 'FEBS Journal', 'issue': '5'}, {'title': 'Label-Free Capacitive Biosensor for Detection of Cryptosporidium', 'citations': 59, 'authors': ['George Luka', 'Ehsan Samiei', 'Soroush Dehghani', 'Thomas Johnson', 'Homayoun Najjaran', 'Mina Hoorfar'], 'publication date': '2019-01-10', 'journal': 'Sensors', 'issue': '2'}, {'title': 'Investigating Programmed Cell Death and Tumor Invasion in a Three-Dimensional (3D) Microfluidic Model of Glioblastoma', 'citations': 50, 'authors': ['Ehsan Samiei', 'Amir Seyfoori', 'Brian Toyota', 'Saeid Ghavami', 'Mohsen Akbari'], 'publication date': '2020-04-30', 'journal': 'International Journal of Molecular Sciences', 'issue': '9'}, {'title': 'Microfluidic‐Assisted CTC Isolation and In Situ Monitoring Using Smart Magnetic Microgels', 'citations': 38, 'authors': ['Amir Seyfoori', 'S.A. Seyyed Ebrahimi', 'Mohamadmahdi Samandari', 'Ehsan Samiei', 'Evan Stefanek', 'Cathie Garnis', 'Mohsen Akbari'], 'publication date': '2023-01-31', 'journal': 'Small', 'issue': '16'}, {'title': 'Self-filling microwell arrays (SFMAs) for tumor spheroid formation', 'citations': 59, 'authors': ['Amir Seyfoori', 'Ehsan Samiei', 'Neda Jalili', 'Brent Godau', 'Mehdi Rahmanian', 'Leila Farahmand', 'Keivan Majidzadeh‐A', 'Mohsen Akbari'], 'publication date': '2018-01-01', 'journal': 'Lab on a Chip', 'issue': '22'}, {'title': 'A novel numerical scheme for the investigation of surface tension effects on growth and collapse stages of cavitation bubbles', 'citations': 56, 'authors': ['Ehsan Samiei', 'Mehrzad Shams', 'Reza Ebrahimi'], 'publication date': '2010-09-22', 'journal': 'European Journal of Mechanics - B/Fluids', 'issue': '1'}, {'title': 'Autophagy modulates temozolomide-induced cell death in alveolar Rhabdomyosarcoma cells', 'citations': 48, 'authors': ['Adel Rezaei Moghadam', 'Simone C. da Silva Rosa', 'Ehsan Samiei', 'Javad Alizadeh', 'Jared T. Field', 'Philip Kawalec', 'James A. Thliveris', 'Mohsen Akbari', 'Saeid Ghavami', 'Joseph W. Gordon'], 'publication date': '2018-10-25', 'journal': 'Cell Death Discovery', 'issue': '1'}, {'title': 'Integration of biosensors into digital microfluidics: Impact of hydrophilic surface of biosensors on droplet manipulation', 'citations': 45, 'authors': ['Ehsan Samiei', 'George Luka', 'Homayoun Najjaran', 'Mina Hoorfar'], 'publication date': '2016-03-17', 'journal': 'Biosensors and Bioelectronics', 'issue': None}, {'title': 'Mechanisms of simvastatin myotoxicity: The role of autophagy flux inhibition', 'citations': 45, 'authors': ['Arya Emami', 'Shahla Shojaei', 'Simone C. da Silva Rosa', 'Mahmoud Aghaei', 'Ehsan Samiei', 'Amir R. Vosoughi', 'Forouh Kalantari', 'Philip Kawalec', 'James A. Thliveris', 'Pawan Sharma', 'Amir A. Zeki', 'Mohsen Akbari', 'Joseph W. Gordon', 'Saeid Ghavami'], 'publication date': '2019-08-23', 'journal': 'European Journal of Pharmacology', 'issue': None}, {'title': 'Systematic analysis of geometrical based unequal droplet splitting in digital microfluidics', 'citations': 42, 'authors': ['Ehsan Samiei', 'Mina Hoorfar'], 'publication date': '2015-04-07', 'journal': 'Journal of Micromechanics and Microengineering', 'issue': '5'}, {'title': 'Digital microfluidic platform for dielectrophoretic patterning of cells encapsulated in hydrogel droplets', 'citations': 41, 'authors': ['Bret Nestor', 'Ehsan Samiei', 'Roya Samanipour', 'Ashok Kumar Gupta', 'Andre Van den Berg', 'María Díaz de León Derby', 'Zhejun Wang', 'Hojatollah Rezaei Nejad', 'Keekyoung Kim', 'Mina Hoorfar'], 'publication date': '2016-01-01', 'journal': 'RSC Advances', 'issue': '62'}, {'title': 'An electrohydrodynamic technique for rapid mixing in stationary droplets on digital microfluidic platforms', 'citations': 37, 'authors': ['Ehsan Samiei', 'María Díaz de León Derby', 'Andre Van den Berg', 'Mina Hoorfar'], 'publication date': '2016-12-07', 'journal': 'Lab on a Chip', 'issue': '2'}, {'title': 'Comprehensive review of conventional and state-of-the-art detection methods of Cryptosporidium', 'citations': 33, 'authors': ['George Luka', 'Ehsan Samiei', 'Nishat Tasnim', 'Arash Dalili', 'Homayoun Najjaran', 'Mina Hoorfar'], 'publication date': '2021-07-21', 'journal': 'Journal of Hazardous Materials', 'issue': None}, {'title': 'Multifunctional Thermoresponsive Microcarriers for High‐Throughput Cell Culture and Enzyme‐Free Cell Harvesting', 'citations': 29, 'authors': ['Seyed Mohammad Hossein Dabiri', 'Ehsan Samiei', 'Shahla Shojaei', 'Lucas Karperien', 'Bardia Khun Jush', 'Tavia Walsh', 'Maryam Jahanshahi', 'Sadegh Hassanpour', 'David Hamdi', 'Amir Seyfoori', 'Samad Ahadian', 'Ali Khademhosseini', 'Mohsen Akbari'], 'publication date': '2021-09-23', 'journal': 'Small', 'issue': '44'}, {'title': 'Multifunctional Hybrid Magnetic Microgel Synthesis for Immune-Based Isolation and Post-Isolation Culture of Tumor Cells', 'citations': 27, 'authors': ['Amir Seyfoori', 'S.A. Seyyed Ebrahimi', 'Ehsan Samiei', 'Mohsen Akbari'], 'publication date': '2019-07-03', 'journal': 'ACS Applied Materials & Interfaces', 'issue': '28'}, {'title': 'A dielectrophoretic-gravity driven particle focusing technique for digital microfluidic systems', 'citations': 23, 'authors': ['Ehsan Samiei', 'Hojatollah Rezaei Nejad', 'Mina Hoorfar'], 'publication date': '2015-05-18', 'journal': 'Applied Physics Letters', 'issue': '20'}, {'title': 'An Engineered Infected Epidermis Model for In Vitro Study of the Skin’s Pro-Inflammatory Response', 'citations': 23, 'authors': ['Maryam Jahanshahi', 'David Hamdi', 'Brent Godau', 'Ehsan Samiei', 'Carla L. Sánchez-Lafuente', 'Katie J. Neale', 'Zhina Hadisi', 'Seyed Mohammad Hossein Dabiri', 'Erik Pagan', 'Brian R. Christie', 'Mohsen Akbari'], 'publication date': '2020-02-23', 'journal': 'Micromachines', 'issue': '2'}, {'title': 'A Drug-Eluting Injectable NanoGel for Localized Delivery of Anticancer Drugs to Solid Tumors', 'citations': 11, 'authors': ['Brent Godau', 'Sadaf Samimi', 'Amir Seyfoori', 'Ehsan Samiei', 'Tahereh Khani', 'Parvaneh Naserzadeh', 'Alireza Hassani Najafabadi', 'Emal Lesha', 'Keivan Majidzadeh‐A', 'Behnaz Ashtari', 'Gabriel Charest', 'Christophe Morin', 'David Fortin', 'Mohsen Akbari'], 'publication date': '2023-08-31', 'journal': 'Pharmaceutics', 'issue': '9'}, {'title': 'Microfluidic Synthesis of Collagen‐Based Microgels for Tissue Engineering Applications', 'citations': 4, 'authors': ['Ehsan Samiei', 'Teodor Veres', 'Axel Güenther'], 'publication date': '2025-03-04', 'journal': 'Nano Select', 'issue': '9'}, {'title': 'Evaluation of the hemodynamics in straight 6-mm and tapered 6- to 8-mm grafts as upper arm hemodialysis vascular access', 'citations': 25, 'authors': ['Mohammad-Hossein Sarmast', 'Hanieh Niroomand-Oscuii', 'Farzan Ghalichi', 'Ehsan Samiei'], 'publication date': '2014-08-11', 'journal': 'Medical & Biological Engineering & Computing', 'issue': '9'}, {'title': 'Gravity-driven hydrodynamic particle separation in digital microfluidic systems', 'citations': 16, 'authors': ['Hojatollah Rezaei Nejad', 'Ehsan Samiei', 'Ali Ahmadi', 'Mina Hoorfar'], 'publication date': '2015-01-01', 'journal': 'RSC Advances', 'issue': '45'}, {'title': 'A bioengineering method for modeling alveolar Rhabdomyosarcoma and assessing chemotherapy responses', 'citations': 16, 'authors': ['Evan Stefanek', 'Ehsan Samiei', 'Mahboubeh Kavoosi', 'Mohammad Esmaeillou', 'Kiarash Roustai Geraylow', 'Arya Emami', 'Milad Ashrafizadeh', 'David Perrin', 'Joseph W. Gordon', 'Mohsen Akbari', 'Saeid Ghavami'], 'publication date': '2021-01-01', 'journal': 'MethodsX', 'issue': None}, {'title': 'Biosensing on Digital Microfluidics: From Sample Preparation to Detection', 'citations': 6, 'authors': ['Ehsan Samiei', 'Mina Hoorfar'], 'publication date': '2018-01-01', 'journal': 'Integrated analytical systems', 'issue': None}, {'title': 'Development of advanced operators for enhanced on-chip biosensing in digital microfluidic platforms', 'citations': 4, 'authors': ['Ehsan Samiei'], 'publication date': '2017-01-01', 'journal': 'Open Collections', 'issue': None}, {'title': 'Numerical Study on Mass Transfer Effects on Spherical Cavitation Bubble Collapse in an Acoustic Field', 'citations': 2, 'authors': ['Ehsan Samiei', 'Mehrzad Shams', 'Reza Ebrahimi'], 'publication date': '2010-01-01', 'journal': 'ASME 2010 10th Biennial Conference on Engineering Systems Design and Analysis, Volume 3', 'issue': None}, {'title': 'Effect of Electrode Geometry on Droplet Splitting in Digital Microfluidic Platforms', 'citations': 2, 'authors': ['Ehsan Samiei', 'Hojatollah Rezaei Nejad', 'Mina Hoorfar'], 'publication date': '2014-08-03', 'journal': None, 'issue': None}, {'title': 'Smart Thread Based pH Sensitive Antimicrobial Wound Dressing', 'citations': 1, 'authors': ['Lucas Karperien', 'Seyed Mohammad Hossein Dabiri', 'Zhina Hadisi', 'David Hamdi', 'Ehsan Samiei', 'Mohsen Akbari'], 'publication date': '2019-08-01', 'journal': None, 'issue': None}, {'title': 'Modifying Electrode Geometry for Unequal Droplet Splitting in Digital Microfluidics', 'citations': 0, 'authors': ['Ehsan Samiei', 'Mina Hoorfar'], 'publication date': '2013-11-15', 'journal': None, 'issue': None}, {'title': 'Numerical Simulation of Cavitation Bubble Collapse in the Vicinity of a Rigid Boundary', 'citations': 0, 'authors': ['Ehsan Samiei', 'Mehrzad Shams', 'Reza Ebrahimi'], 'publication date': '2010-01-01', 'journal': 'ASME 2010 10th Biennial Conference on Engineering Systems Design and Analysis, Volume 3', 'issue': None}, {'title': 'A novel density-based dielectrophoretic particle focusing technique for digital microfluidics', 'citations': 0, 'authors': ['Ehsan Samiei', 'Hojatollah Rezaei Nejad', 'Mina Hoorfar'], 'publication date': '2015-01-01', 'journal': None, 'issue': None}, {'title': 'Numerical Simulation of the Hemodynamics in 6 mm and 6–8 mm Hemodialysis Grafts and Investigation of Biomechanical Consequences', 'citations': 0, 'authors': ['Mohammad-Hossein Sarmast', 'Hanieh Niroomand-Oscuii', 'Farzan Ghalichi', 'Ehsan Samiei'], 'publication date': '2010-01-01', 'journal': None, 'issue': None}, {'title': 'A Comparative Study of the Hemodynamics in Two Types of Grafts of\xa06 mm versus 6-8 mm as an Upper Arm Straight Graft Hemodialysis Access', 'citations': 0, 'authors': ['Mohammad-Hossein Sarmast', 'Hanieh Niroomand-Oscuii', 'Farzan Ghalichi', 'Ehsan Samiei'], 'publication date': '2010-01-01', 'journal': 'World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany', 'issue': None}, {'title': 'Experimental investigation of the possibility of transporting a droplet over a hydrophilic spot in digital microfluidics', 'citations': 0, 'authors': ['Mina Hoorfar', 'Ehsan Samiei'], 'publication date': '2013-05-12', 'journal': 'TechConnect Briefs', 'issue': '2013'}, {'title': 'Simvastatin boosts chemotherapy by cutting autophagic lifeline in glioblastoma', 'citations': 0, 'authors': ['Shahla Shojaei', 'Navid Koleini', 'Ehsan Samiei', 'Mahmoud Aghaei', 'Laura Cole', 'Javad Alizade', 'Imamul Islam', 'Amir-reza Vosoughi', 'Mohammed Albokashy', 'Yaron S.N. Butterfield', 'Hassan Marzban', 'Fred Y. Xu', 'James A. Thliveris', 'Elissavet Kardami', 'Grant M. Hatch', 'Eftekhar Eftekharpour', 'Mohsen Akbari', 'Sabine Hombach‐Klonisch', 'Thomas Klonisch', 'Saeid Ghavami'], 'publication date': '2019-12-04', 'journal': None, 'issue': None}, {'title': 'Multifunctional Thermoresponsive Microcarriers for High‐Throughput Cell Culture and Enzyme‐Free Cell Harvesting (Small 44/2021)', 'citations': 0, 'authors': ['Seyed Mohammad Hossein Dabiri', 'Ehsan Samiei', 'Shahla Shojaei', 'Lucas Karperien', 'Bardia Khun Jush', 'Tavia Walsh', 'Maryam Jahanshahi', 'Sadegh Hassanpour', 'David Hamdi', 'Amir Seyfoori', 'Samad Ahadian', 'Ali Khademhosseini', 'Mohsen Akbari'], 'publication date': '2021-11-01', 'journal': 'Small', 'issue': '44'}, {'title': 'Conformal Bioprinting of Bi-phasic Jammed Bioinks, Independent of Gravity, Orientation, and Curvature', 'citations': 0, 'authors': ['Sushant Singh', 'Lihua Wei', 'Ehsan Samiei', 'Khaled Gaber', 'Qiang Gao', 'Aaron H. Persad', 'Teodor Veres', 'Axel Güenther'], 'publication date': '2025-05-22', 'journal': None, 'issue': None}, {'title': 'In situ printing of biphasic jammed inks for conformal deposition on convex anatomical surfaces, with microgravity validation', 'citations': 0, 'authors': ['Sushant Singh', 'Lihua Wei', 'Ehsan Samiei', 'Khaled Gaber', 'Qiushi Gao', 'Aaron H. Persad', 'Teodor Veres', 'Axel Güenther'], 'publication date': '2026-03-03', 'journal': 'Biofabrication', 'issue': None}]"
Peivand Sadat Mousavi,5,320,4,{'University of Toronto': 5},"{'Nature Chemistry': 1, 'Nature Communications': 2, 'ACS Sensors': 1, 'Unknown': 1}","[{'title': 'A multiplexed, electrochemical interface for gene-circuit-based sensors', 'citations': 139, 'authors': ['Peivand Sadat Mousavi', 'Sarah J. Smith', 'Jenise B. Chen', 'Margot Karlikow', 'Aidan Tinafar', 'Clare Robinson', 'Wenhan Liu', 'Duo Ma', 'Alexander A. Green', 'Shana O. Kelley', 'Keith Pardee'], 'publication date': '2019-11-25', 'journal': 'Nature Chemistry', 'issue': '1'}, {'title': 'A glucose meter interface for point-of-care gene circuit-based diagnostics', 'citations': 96, 'authors': ['Evan Amalfitano', 'Margot Karlikow', 'Masoud Norouzi', 'Katariina Jaenes', 'Seray Cicek', 'Fahim Masum', 'Peivand Sadat Mousavi', 'Yuxiu Guo', 'Laura Tang', 'Andrew M. Sydor', 'Duo Ma', 'Joel D. Pearson', 'Daniel Trcka', 'Mathieu Pinette', 'Aruna Ambagala', 'Shawn Babiuk', 'Bradley Pickering', 'Jeffrey L. Wrana', 'Rod Bremner', 'Tony Mazzulli', 'David Sinton', 'John H. Brumell', 'Alexander A. Green', 'Keith Pardee'], 'publication date': '2021-02-01', 'journal': 'Nature Communications', 'issue': '1'}, {'title': 'CRISPR-induced DNA reorganization for multiplexed nucleic acid detection', 'citations': 60, 'authors': ['Margot Karlikow', 'Evan Amalfitano', 'Xiaolong Yang', 'Jennifer Doucet', 'Abigail Chapman', 'Peivand Sadat Mousavi', 'Paige Homme', 'Polina Sutyrina', 'Winston Chan', 'Sofia Lemak', 'Alexander F. Yakunin', 'Adam G. Dolezal', 'Shana O. Kelley', 'Leonard J. Foster', 'Brock A. Harpur', 'Keith Pardee'], 'publication date': '2023-03-17', 'journal': 'Nature Communications', 'issue': '1'}, {'title': 'Toward Mail-in-Sensors for SARS-CoV-2 Detection: Interfacing Gel Switch Resonators with Cell-Free Toehold Switches', 'citations': 25, 'authors': ['Adam R. Carr', 'Jared L. Dopp', 'Kaiyue Wu', 'Peivand Sadat Mousavi', 'Yeong Ran Jo', 'Ciara E. McNeley', 'Zachary T. Lynch', 'Keith Pardee', 'Alexander A. Green', 'Nigel F. Reuel'], 'publication date': '2022-03-07', 'journal': 'ACS Sensors', 'issue': '3'}, {'title': 'A direct gene circuit - Electronic interface for cell-free synthetic biology', 'citations': 0, 'authors': ['Keith Pardee', 'Peivand Sadat Mousavi', 'Sarah J. Smith', 'Juan Chen', 'Margot Karlikow', 'Aidan Tinafar', 'Clare Robinson', 'W. Liu', 'Prolixus Ma', 'Alexander A. Green', 'S. Kellev'], 'publication date': '2019-01-01', 'journal': None, 'issue': None}]"
Margot Karlikow,14,520,6,"{'University of Toronto': 11, 'Institut Pasteur': 2, 'Centre National de la Recherche Scientifique': 1, '3M (United States)': 2}","{'Nature Chemistry': 1, 'Nature Communications': 2, 'Nature Biomedical Engineering': 1, 'Developmental & Comparative Immunology': 1, 'Scientific Reports': 1, 'Journal of Visualized Experiments': 2, 'Unknown': 5, 'theses.fr (ABES)': 1}","[{'title': 'A multiplexed, electrochemical interface for gene-circuit-based sensors', 'citations': 139, 'authors': ['Peivand Sadat Mousavi', 'Sarah J. Smith', 'Jenise B. Chen', 'Margot Karlikow', 'Aidan Tinafar', 'Clare Robinson', 'Wenhan Liu', 'Duo Ma', 'Alexander A. Green', 'Shana O. Kelley', 'Keith Pardee'], 'publication date': '2019-11-25', 'journal': 'Nature Chemistry', 'issue': '1'}, {'title': 'A glucose meter interface for point-of-care gene circuit-based diagnostics', 'citations': 96, 'authors': ['Evan Amalfitano', 'Margot Karlikow', 'Masoud Norouzi', 'Katariina Jaenes', 'Seray Cicek', 'Fahim Masum', 'Peivand Sadat Mousavi', 'Yuxiu Guo', 'Laura Tang', 'Andrew M. Sydor', 'Duo Ma', 'Joel D. Pearson', 'Daniel Trcka', 'Mathieu Pinette', 'Aruna Ambagala', 'Shawn Babiuk', 'Bradley Pickering', 'Jeffrey L. Wrana', 'Rod Bremner', 'Tony Mazzulli', 'David Sinton', 'John H. Brumell', 'Alexander A. Green', 'Keith Pardee'], 'publication date': '2021-02-01', 'journal': 'Nature Communications', 'issue': '1'}, {'title': 'Field validation of the performance of paper-based tests for the detection of the Zika and chikungunya viruses in serum samples', 'citations': 78, 'authors': ['Margot Karlikow', 'Severino Jefferson Ribeiro da Silva', 'Yuxiu Guo', 'Seray Cicek', 'Larissa Krokovsky', 'Paige Homme', 'Yilin Xiong', 'Talia Xu', 'María-Angélica Calderón-Peláez', 'Sigrid Camacho-Ortega', 'Duo Ma', 'Jurandy Júnior Ferraz de Magalhães', 'Bárbara Nayane Rosário Fernandes Souza', 'Diego Guerra de Albuquerque Cabral', 'Katariina Jaenes', 'Polina Sutyrina', 'Tom Ferrante', 'Andrea Denisse Benítez', 'Victoria Nipáz', 'Patricio Ponce', 'Darius G. Rackus', 'James J. Collins', 'Marcelo Henrique Santos Paiva', 'Jaime E. Castellanos', 'Varsovia Cevallos', 'Alexander A. Green', 'Constância Flávia Junqueira Ayres', 'Lindomar Pena', 'Keith Pardee'], 'publication date': '2022-03-07', 'journal': 'Nature Biomedical Engineering', 'issue': '3'}, {'title': 'CRISPR-induced DNA reorganization for multiplexed nucleic acid detection', 'citations': 60, 'authors': ['Margot Karlikow', 'Evan Amalfitano', 'Xiaolong Yang', 'Jennifer Doucet', 'Abigail Chapman', 'Peivand Sadat Mousavi', 'Paige Homme', 'Polina Sutyrina', 'Winston Chan', 'Sofia Lemak', 'Alexander F. Yakunin', 'Adam G. Dolezal', 'Shana O. Kelley', 'Leonard J. Foster', 'Brock A. Harpur', 'Keith Pardee'], 'publication date': '2023-03-17', 'journal': 'Nature Communications', 'issue': '1'}, {'title': 'RNAi and antiviral defense in Drosophila: Setting up a systemic immune response', 'citations': 78, 'authors': ['Margot Karlikow', 'Bertsy Goić', 'Maria‐Carla Saleh'], 'publication date': '2013-05-14', 'journal': 'Developmental & Comparative Immunology', 'issue': '1'}, {'title': 'Drosophila cells use nanotube-like structures to transfer dsRNA and RNAi machinery between cells', 'citations': 55, 'authors': ['Margot Karlikow', 'Bertsy Goić', 'Vanesa Mongelli', 'Audrey Salles', 'Christine Schmitt', 'Isabelle Bonne', 'Chiara Zurzolo', 'Maria‐Carla Saleh'], 'publication date': '2016-06-03', 'journal': 'Scientific Reports', 'issue': '1'}, {'title': 'Design to Implementation Study for Development and Patient Validation of Paper-Based Toehold Switch Diagnostics', 'citations': 6, 'authors': ['Katariina Jaenes', 'Severino Jefferson Ribeiro da Silva', 'Justin R. J. Vigar', 'Kaiyue Wu', 'Masoud Norouzi', 'Pouriya Bayat', 'Margot Karlikow', 'Seray Cicek', 'Yuxiu Guo', 'Alexander A. Green', 'Lindomar Pena', 'Keith Pardee'], 'publication date': '2022-06-17', 'journal': 'Journal of Visualized Experiments', 'issue': '184'}, {'title': 'Field validation of the performance of paper-based tests for the detection of the Zika and chikungunya viruses in serum samples', 'citations': 3, 'authors': ['Margot Karlikow', 'Severino Jefferson Ribeiro da Silva', 'Yuxiu Guo', 'Seray Cicek', 'Larissa Krokovsky', 'Paige Homme', 'Yilin Xiong', 'Talia Xu', 'María-Angélica Calderón-Peláez', 'Sigrid Camacho-Ortega', 'Duo Ma', 'Jurandy Júnior Ferraz de Magalhães', 'Bárbara Nayane Rosário Fernandes Souza', 'Diego Guerra de Albuquerque Cabral', 'Katariina Jaenes', 'Polina Sutyrina', 'Tom Ferrante', 'Andrea Denisse Benítez', 'Victoria Nipáz', 'Patricio Ponce', 'Darius G. Rackus', 'James J. Collins', 'Marcelo Henrique Santos Paiva', 'Jaime E. Castellanos', 'Varsovia Cevallos', 'Alexander A. Green', 'Constância Flávia Junqueira Ayres', 'Lindomar Pena', 'Keith Pardee'], 'publication date': '2023-02-06', 'journal': None, 'issue': None}, {'title': 'The Many Roads to an Ideal Paper-based Device', 'citations': 2, 'authors': ['Margot Karlikow', 'Keith Pardee'], 'publication date': '2018-12-10', 'journal': None, 'issue': None}, {'title': 'Design to Implementation Study for Development and Patient Validation of Paper-Based Toehold Switch Diagnostics', 'citations': 2, 'authors': ['Katariina Jaenes', 'Severino Jefferson Ribeiro da Silva', 'Justin R. J. Vigar', 'Kaiyue Wu', 'Masoud Norouzi', 'Pouriya Bayat', 'Margot Karlikow', 'Seray Cicek', 'Yuxiu Guo', 'Alexander A. Green', 'Lindomar Pena', 'Keith Pardee'], 'publication date': '2022-06-17', 'journal': 'Journal of Visualized Experiments', 'issue': '184'}, {'title': 'Developing a lab-in-a-box and low-cost paper-based sensors for ZIKV and CHIKV diagnosis in Latin America', 'citations': 1, 'authors': ['Margot Karlikow', 'Severino Silva', 'Yuxiu Guo', 'Seray Cicek', 'Larissa Krokovsky', 'James E. Collins', 'Alexander Green', 'Constância Flávia Junqueira Ayres', 'Lindomar Pena', 'Keith Pardee'], 'publication date': '2021-01-01', 'journal': None, 'issue': None}, {'title': 'Drosophila CG4572 protein and the spread of the RNAi antiviral immune signal', 'citations': 0, 'authors': ['Margot Karlikow'], 'publication date': '2015-09-23', 'journal': 'theses.fr (ABES)', 'issue': None}, {'title': 'A direct gene circuit - Electronic interface for cell-free synthetic biology', 'citations': 0, 'authors': ['Keith Pardee', 'Peivand Sadat Mousavi', 'Sarah J. Smith', 'Juan Chen', 'Margot Karlikow', 'Aidan Tinafar', 'Clare Robinson', 'W. Liu', 'Prolixus Ma', 'Alexander A. Green', 'S. Kellev'], 'publication date': '2019-01-01', 'journal': None, 'issue': None}, {'title': 'Field validation of the performance of paper-based tests for the detection of the Zika and chikungunya viruses in serum samples', 'citations': 0, 'authors': ['Margot Karlikow', 'Severino Jefferson Ribeiro da Silva', 'Yuxiu Guo', 'Seray Cicek', 'Larissa Krokovsky', 'Paige Homme', 'Yilin Xiong', 'Talia Xu', 'María-Angélica Calderón-Peláez', 'Sigrid Camacho-Ortega', 'Duo Ma', 'Jurandy Júnior Ferraz de Magalhães', 'Bárbara Nayane Rosário Fernandes Souza', 'Diego Guerra de Albuquerque Cabral', 'Katariina Jaenes', 'Polina Sutyrina', 'Tom Ferrante', 'Andrea Denisse Benítez', 'Victoria Nipáz', 'Patricio Ponce', 'Darius G. Rackus', 'James J. Collins', 'Marcelo Henrique Santos Paiva', 'Jaime E. Castellanos', 'Varsovia Cevallos', 'Alexander A. Green', 'Constância Flávia Junqueira Ayres', 'Lindomar Pena', 'Keith Pardee'], 'publication date': '2023-02-06', 'journal': None, 'issue': None}]"
